Country,Not Prepared,Prepared,Somewhat Prepared,Total_Human_Rights_Impacted
United States of America,0,142,10,666
China,3,99,46,623
India,4,67,47,501
Indonesia,2,57,27,407
Philippines,1,61,22,403
Viet Nam,0,56,17,348
Japan,0,70,8,346
Bangladesh,1,55,14,335
Pakistan,1,49,24,330
Mexico,0,63,5,327
Thailand,0,51,8,266
Haiti,2,44,5,245
Brazil,0,45,8,235
Afghanistan,0,36,15,230
Australia,0,51,1,225
Sri Lanka,1,40,5,219
Mozambique,0,43,6,219
Colombia,0,38,7,215
Italy,0,45,5,209
France,0,39,7,209
Iran (Islamic Republic of),1,41,5,208
Russian Federation,0,41,3,201
Guatemala,0,40,3,198
Peru,0,39,4,197
Somalia,0,38,5,196
Dominican Republic,0,37,2,194
South Africa,0,42,1,189
Türkiye,1,36,3,182
Honduras,0,38,2,179
Madagascar,0,31,7,174
United Republic of Tanzania,0,38,0,172
Republic of Korea,0,34,2,170
Malawi,0,34,3,170
Kenya,0,30,7,170
Tajikistan,0,37,0,169
Argentina,0,37,0,167
Malaysia,0,34,0,166
Nigeria,0,28,7,165
Canada,0,34,0,165
Romania,0,34,2,160
Taiwan (Province of China),0,29,4,158
Nicaragua,0,31,1,151
Bolivia (Plurinational State of),0,32,2,151
Myanmar,1,25,5,148
Ethiopia,0,28,5,147
Nepal,1,13,17,147
Algeria,1,29,1,146
Cuba,0,29,1,145
Chile,0,28,2,145
Greece,0,30,2,144
Democratic People's Republic of Korea,0,22,8,142
Ecuador,0,29,1,141
Angola,0,28,2,140
Niger,0,29,2,139
Burundi,0,30,1,138
Uganda,0,28,2,137
Yemen,0,25,2,135
Democratic Republic of the Congo,0,23,5,134
El Salvador,0,27,2,132
Panama,0,28,0,132
Spain,0,27,3,131
Sudan,0,24,4,128
New Zealand,0,24,1,123
United Kingdom of Great Britain and Northern Ireland,0,25,3,123
Papua New Guinea,0,24,2,120
Venezuela (Bolivarian Republic of),0,24,0,118
Costa Rica,0,25,0,117
Mali,0,26,0,116
Cambodia,0,22,3,115
Zimbabwe,0,23,3,114
Fiji,0,22,0,108
Lao People's Democratic Republic,0,21,1,107
Rwanda,0,20,1,101
Morocco,0,18,2,96
Zambia,0,20,0,94
Bulgaria,0,20,2,92
Namibia,0,19,1,90
Germany,0,21,4,90
Ghana,0,18,0,90
Georgia,0,19,0,89
Solomon Islands,0,18,0,88
Serbia,0,19,0,88
Mauritania,0,20,0,88
Croatia,0,20,0,87
Paraguay,0,22,0,86
Burkina Faso,0,19,0,85
Senegal,0,18,0,82
Saudi Arabia,0,15,1,80
Puerto Rico,0,15,1,79
Cameroon,0,17,0,79
Uruguay,0,17,0,79
Bosnia and Herzegovina,0,17,0,78
Kazakhstan,0,16,0,76
Iraq,0,17,0,76
Belgium,0,16,3,73
Central African Republic,0,15,0,72
Albania,0,16,0,70
Guinea,0,14,0,70
Chad,0,15,1,70
Poland,0,15,0,68
Hungary,0,16,0,67
Czechia,0,15,0,67
Portugal,0,14,3,67
South Sudan,0,13,1,63
Jamaica,0,13,0,61
Bahamas,0,11,1,60
Slovakia,0,13,0,57
Congo,0,11,0,55
Mongolia,0,12,0,55
Belize,0,11,0,55
Côte d’Ivoire,0,11,0,55
North Macedonia,0,12,0,55
Sierra Leone,0,10,1,54
Vanuatu,0,11,0,54
Benin,0,10,1,54
Austria,0,13,0,53
Ukraine,0,11,0,53
Saint Vincent and the Grenadines,0,11,0,53
Gambia,0,11,0,49
Oman,0,10,0,48
Saint Lucia,0,10,0,47
"China, Hong Kong Special Administrative Region",0,9,0,45
Botswana,0,11,0,45
Tonga,0,9,0,44
Kyrgyzstan,0,10,0,41
Switzerland,0,10,1,41
Togo,0,8,0,40
Timor-Leste,0,9,0,40
Tunisia,0,8,0,40
Guyana,0,8,0,38
Djibouti,0,10,0,38
Syrian Arab Republic,0,9,1,38
Slovenia,0,9,0,38
Egypt,0,9,0,38
Barbados,0,8,0,37
Micronesia (Federated States of),0,8,0,36
Réunion,0,7,0,35
Samoa,0,6,1,34
Eswatini,0,9,0,33
Bhutan,0,6,1,32
Lesotho,0,9,0,32
Mauritius,0,6,0,30
Netherlands (Kingdom of the),0,8,1,29
Republic of Moldova,0,7,0,29
Serbia Montenegro,0,6,0,27
Azerbaijan,0,6,0,26
Guinea-Bissau,0,6,0,26
Ireland,0,6,0,26
Liberia,0,5,0,25
Cabo Verde,0,6,0,24
Dominica,0,5,0,24
Israel,0,6,0,24
Marshall Islands,0,6,0,24
Comoros,0,5,0,24
Trinidad and Tobago,0,5,0,23
Uzbekistan,0,5,0,22
Lithuania,0,6,0,22
American Samoa,0,4,0,21
Seychelles,0,4,0,21
Cyprus,0,6,0,21
Maldives,0,3,1,21
Montenegro,0,5,0,21
Cayman Islands,0,4,0,20
Suriname,0,4,0,20
Luxembourg,0,5,0,20
Northern Mariana Islands,0,4,0,20
Martinique,0,4,0,19
Norway,0,5,0,19
Guadeloupe,0,4,0,19
Canary Islands,0,4,0,18
Palau,0,4,0,18
Tuvalu,0,4,0,16
Jordan,0,4,0,16
Antigua and Barbuda,0,3,0,15
Cook Islands,0,3,0,15
Kiribati,0,3,0,15
State of Palestine,0,3,0,15
Turks and Caicos Islands,0,3,0,15
Guam,0,3,0,15
Grenada,0,3,0,13
Eritrea,0,3,0,13
Armenia,0,6,0,12
Sweden,0,3,0,11
Finland,0,3,0,11
Gabon,0,2,0,11
Iceland,0,3,0,11
Lebanon,0,3,0,11
Latvia,0,3,0,11
Libya,0,2,0,10
French Polynesia,0,2,0,10
Belarus,0,2,0,10
Saint Kitts and Nevis,0,2,0,10
United States Virgin Islands,0,2,0,10
New Caledonia,0,2,0,10
Denmark,0,2,0,6
Estonia,0,2,0,6
Malta,0,2,0,6
Anguilla,0,1,0,5
French Guiana,0,1,0,5
"China, Macao Special Administrative Region",0,1,0,5
British Virgin Islands,0,1,0,5
Bermuda,0,1,0,5
Sint Maarten (Dutch part),0,1,0,5
Niue,0,1,0,5
Kuwait,0,1,0,5
Saint Barthélemy,0,1,0,5
United Arab Emirates,0,1,0,5
Qatar,0,1,0,5
Saint Martin (French Part),0,1,0,5
Sao Tome and Principe,0,1,0,5
Wallis and Futuna Islands,0,1,0,5
Tokelau,0,1,0,5
Turkmenistan,0,1,0,4
Liechtenstein,0,1,0,3
