Country,Not Prepared_Drought,Not Prepared_Earthquake,Not Prepared_Extreme temperature,Not Prepared_Flood,Not Prepared_Storm,Not Prepared_Wildfire,Prepared_Drought,Prepared_Earthquake,Prepared_Extreme temperature,Prepared_Flood,Prepared_Storm,Prepared_Wildfire,Somewhat Prepared_Drought,Somewhat Prepared_Earthquake,Somewhat Prepared_Extreme temperature,Somewhat Prepared_Flood,Somewhat Prepared_Storm,Somewhat Prepared_Wildfire,Cluster
Afghanistan,0.83,0.23,0.09359375,0.0,0.05164285714285714,0.0,0.0,0.54,0.5071874999999999,0.31,0.7505,0.7275,0.17,0.23,0.39890625,0.69,0.198,0.2725,3
Albania,0.3908547008547008,0.0,0.0,0.0,0.05164285714285714,0.0,0.40940170940170945,0.5,0.5,0.8,0.7505,0.7275,0.19948717948717948,0.5,0.5,0.2,0.198,0.2725,1
Algeria,0.3908547008547008,0.2,0.0,0.0,0.05164285714285714,0.0,0.40940170940170945,0.8,1.0,0.74,0.7505,0.0,0.19948717948717948,0.0,0.0,0.26,0.198,1.0,2
American Samoa,0.3908547008547008,0.0,0.09359375,0.0,0.0,0.0,0.40940170940170945,1.0,0.5071874999999999,1.0,0.5,0.7275,0.19948717948717948,0.0,0.39890625,0.0,0.5,0.2725,1
Angola,0.6,0.07967032967032968,0.09359375,0.04,0.05164285714285714,0.0,0.0,0.6898901098901099,0.5071874999999999,0.4,0.7505,0.7275,0.4,0.23,0.39890625,0.56,0.198,0.2725,3
Anguilla,0.3908547008547008,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.668826815642458,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.2792178770949721,0.0,0.2725,1
Antigua and Barbuda,0.3908547008547008,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.668826815642458,0.67,0.7275,0.19948717948717948,0.23,0.39890625,0.2792178770949721,0.33,0.2725,1
Argentina,0.0,0.0,0.09359375,0.0,0.0,0.0,0.75,1.0,0.5071874999999999,0.44,1.0,0.5,0.25,0.0,0.39890625,0.56,0.0,0.5,1
Armenia,0.0,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.0,0.6898901098901099,0.5071874999999999,1.0,1.0,0.7275,1.0,0.23,0.39890625,0.0,0.0,0.2725,1
Australia,0.0,0.07967032967032968,0.0,0.0,0.0,0.0,1.0,0.6898901098901099,0.33,0.92,0.8,1.0,0.0,0.23,0.67,0.08,0.2,0.0,1
Austria,0.3908547008547008,0.07967032967032968,0.0,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.4,0.86,1.0,0.7275,0.19948717948717948,0.23,0.6,0.14,0.0,0.2725,1
Azerbaijan,0.0,0.0,0.09359375,0.0,0.05164285714285714,0.0,1.0,0.5,0.5071874999999999,0.33,0.7505,0.7275,0.0,0.5,0.39890625,0.67,0.198,0.2725,1
Bahamas,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,1.0,0.91,0.7275,0.19948717948717948,0.23,0.39890625,0.0,0.09,0.2725,1
Bangladesh,0.0,0.0,0.0,0.65,0.35,0.0,1.0,1.0,0.5,0.03,0.23,0.7275,0.0,0.0,0.5,0.32,0.42,0.2725,3
Barbados,0.0,0.0,0.09359375,0.051675977653631286,0.0,0.0,1.0,1.0,0.5071874999999999,0.668826815642458,1.0,0.7275,0.0,0.0,0.39890625,0.2792178770949721,0.0,0.2725,1
Belarus,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.5,0.7505,0.7275,0.19948717948717948,0.23,0.39890625,0.5,0.198,0.2725,1
Belgium,0.3908547008547008,0.07967032967032968,0.25,0.12,0.0,0.0,0.40940170940170945,0.6898901098901099,0.12,0.88,1.0,0.7275,0.19948717948717948,0.23,0.62,0.0,0.0,0.2725,1
Belize,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.5,0.67,0.7275,0.19948717948717948,0.23,0.39890625,0.5,0.33,0.2725,1
Benin,0.3908547008547008,0.07967032967032968,0.09359375,0.1,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.3,0.7505,1.0,0.19948717948717948,0.23,0.39890625,0.6,0.198,0.0,3
Bermuda,0.3908547008547008,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.668826815642458,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.2792178770949721,0.0,0.2725,1
Bhutan,0.3908547008547008,0.0,0.09359375,0.0,0.0,0.0,0.40940170940170945,1.0,0.5071874999999999,0.67,1.0,0.7275,0.19948717948717948,0.0,0.39890625,0.33,0.0,0.2725,1
Bolivia (Plurinational State of),0.25,0.07967032967032968,0.0,0.08,0.05164285714285714,0.0,0.12,0.6898901098901099,1.0,0.29,0.7505,1.0,0.62,0.23,0.0,0.62,0.198,0.0,3
Bosnia and Herzegovina,0.0,0.0,0.0,0.08,0.05164285714285714,0.0,0.5,1.0,1.0,0.69,0.7505,0.7275,0.5,0.0,0.0,0.23,0.198,0.2725,1
Botswana,0.0,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.33,0.6898901098901099,0.5071874999999999,0.86,1.0,0.7275,0.67,0.23,0.39890625,0.14,0.0,0.2725,1
Brazil,0.42,0.0,0.0,0.21,0.0,0.0,0.5,1.0,1.0,0.35,0.4,0.7275,0.08,0.0,0.0,0.44,0.6,0.2725,3
British Virgin Islands,0.3908547008547008,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.668826815642458,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.2792178770949721,0.0,0.2725,1
Bulgaria,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.92,1.0,1.0,0.0,0.0,0.0,0.08,0.0,0.0,1
Burkina Faso,0.8,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.2,0.6898901098901099,0.5071874999999999,0.29,0.7505,0.7275,0.0,0.23,0.39890625,0.71,0.198,0.2725,3
Burundi,0.2,0.0,0.09359375,0.0,0.0,0.0,0.4,1.0,0.5071874999999999,0.64,1.0,0.7275,0.4,0.0,0.39890625,0.36,0.0,0.2725,1
Cabo Verde,0.0,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.0,0.6898901098901099,0.5071874999999999,0.5,1.0,0.7275,1.0,0.23,0.39890625,0.5,0.0,0.2725,1
Cambodia,0.75,0.07967032967032968,0.09359375,0.35,0.25,0.0,0.0,0.6898901098901099,0.5071874999999999,0.41,0.5,0.7275,0.25,0.23,0.39890625,0.24,0.25,0.2725,3
Cameroon,0.33,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.67,0.6898901098901099,0.5071874999999999,0.36,0.7505,0.7275,0.0,0.23,0.39890625,0.64,0.198,0.2725,1
Canada,0.3908547008547008,0.07967032967032968,0.0,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.0,0.95,1.0,0.5,0.19948717948717948,0.23,1.0,0.05,0.0,0.5,1
Canary Islands,0.3908547008547008,0.07967032967032968,0.0,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,1.0,1.0,1.0,0.7275,0.19948717948717948,0.23,0.0,0.0,0.0,0.2725,1
Cayman Islands,0.3908547008547008,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.668826815642458,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.2792178770949721,0.0,0.2725,1
Central African Republic,1.0,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.0,0.6898901098901099,0.5071874999999999,0.54,0.7505,0.0,0.0,0.23,0.39890625,0.46,0.198,1.0,2
Chad,1.0,0.07967032967032968,0.09359375,0.18,0.05164285714285714,0.0,0.0,0.6898901098901099,0.5071874999999999,0.18,0.7505,0.7275,0.0,0.23,0.39890625,0.64,0.198,0.2725,3
Chile,0.3908547008547008,0.38,0.09359375,0.0,0.05164285714285714,0.0,0.40940170940170945,0.25,0.5071874999999999,0.58,0.7505,0.67,0.19948717948717948,0.38,0.39890625,0.42,0.198,0.33,3
China,0.82,0.54,0.0,0.56,0.4,0.0,0.18,0.08,0.75,0.12,0.18,0.7275,0.0,0.38,0.25,0.31,0.42,0.2725,3
"China, Hong Kong Special Administrative Region",0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,1.0,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.0,0.0,0.2725,1
"China, Macao Special Administrative Region",0.3908547008547008,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.668826815642458,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.2792178770949721,0.0,0.2725,1
Colombia,0.0,0.0,0.09359375,0.19,0.0,0.0,1.0,0.83,0.5071874999999999,0.29,0.67,1.0,0.0,0.17,0.39890625,0.52,0.33,0.0,1
Comoros,0.3908547008547008,0.0,0.09359375,0.0,0.0,0.0,0.40940170940170945,1.0,0.5071874999999999,0.5,0.5,0.7275,0.19948717948717948,0.0,0.39890625,0.5,0.5,0.2725,1
Congo,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.09,0.7505,0.7275,0.19948717948717948,0.23,0.39890625,0.91,0.198,0.2725,3
Cook Islands,0.3908547008547008,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.668826815642458,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.2792178770949721,0.0,0.2725,1
Costa Rica,0.0,0.0,0.09359375,0.0,0.0,0.0,1.0,0.75,0.5071874999999999,0.54,0.33,0.7275,0.0,0.25,0.39890625,0.46,0.67,0.2725,1
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,1.0,1.0,0.7275,0.0,1.0,0.75,0.0,0.0,0.2725,0
Cuba,0.0,0.07967032967032968,0.09359375,0.0,0.38,0.0,0.67,0.6898901098901099,0.5071874999999999,0.91,0.31,0.7275,0.33,0.23,0.39890625,0.09,0.31,0.2725,1
Cyprus,0.0,0.07967032967032968,0.0,0.051675977653631286,0.0,0.0,1.0,0.6898901098901099,0.5,0.668826815642458,1.0,0.7275,0.0,0.23,0.5,0.2792178770949721,0.0,0.2725,1
Czechia,0.3908547008547008,0.07967032967032968,0.0,0.09,0.0,0.0,0.40940170940170945,0.6898901098901099,0.0,0.82,1.0,0.7275,0.19948717948717948,0.23,1.0,0.09,0.0,0.2725,1
Côte d’Ivoire,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.91,0.7505,0.7275,0.19948717948717948,0.23,0.39890625,0.09,0.198,0.2725,1
Democratic People's Republic of Korea,1.0,0.07967032967032968,0.0,0.33,0.25,0.0,0.0,0.6898901098901099,1.0,0.22,0.38,0.7275,0.0,0.23,0.0,0.44,0.38,0.2725,3
Democratic Republic of the Congo,1.0,0.0,0.09359375,0.05,0.0,0.0,0.0,1.0,0.5071874999999999,0.43,0.33,0.7275,0.0,0.0,0.39890625,0.52,0.67,0.2725,3
Denmark,0.3908547008547008,0.07967032967032968,0.0,0.051675977653631286,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.0,0.668826815642458,0.7505,0.7275,0.19948717948717948,0.23,1.0,0.2792178770949721,0.198,0.2725,1
Djibouti,0.0,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.0,0.6898901098901099,0.5071874999999999,0.0,0.0,0.7275,1.0,0.23,0.39890625,1.0,1.0,0.2725,3
Dominica,0.3908547008547008,0.0,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,1.0,0.5071874999999999,0.668826815642458,0.5,0.7275,0.19948717948717948,0.0,0.39890625,0.2792178770949721,0.5,0.2725,1
Dominican Republic,0.3908547008547008,0.0,0.09359375,0.05,0.06,0.0,0.40940170940170945,1.0,0.5071874999999999,0.71,0.59,0.7275,0.19948717948717948,0.0,0.39890625,0.24,0.35,0.2725,1
Ecuador,0.0,0.0,0.09359375,0.0,0.05164285714285714,0.0,0.5,0.6,0.5071874999999999,0.65,0.7505,0.7275,0.5,0.4,0.39890625,0.35,0.198,0.2725,1
Egypt,0.3908547008547008,0.0,0.0,0.0,0.0,0.0,0.40940170940170945,1.0,0.0,1.0,0.5,0.7275,0.19948717948717948,0.0,1.0,0.0,0.5,0.2725,1
El Salvador,0.25,0.2,0.09359375,0.0,0.0,0.0,0.25,0.8,0.5071874999999999,0.9,0.7,0.7275,0.5,0.0,0.39890625,0.1,0.3,0.2725,1
Eritrea,1.0,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.0,0.6898901098901099,0.5071874999999999,1.0,0.7505,0.7275,0.0,0.23,0.39890625,0.0,0.198,0.2725,1
Estonia,0.3908547008547008,0.07967032967032968,0.0,0.051675977653631286,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.0,0.668826815642458,0.7505,0.7275,0.19948717948717948,0.23,1.0,0.2792178770949721,0.198,0.2725,1
Eswatini,0.5,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.0,0.6898901098901099,0.5071874999999999,0.67,1.0,0.7275,0.5,0.23,0.39890625,0.33,0.0,0.2725,1
Ethiopia,1.0,0.07967032967032968,0.09359375,0.12,0.05164285714285714,0.0,0.0,0.6898901098901099,0.5071874999999999,0.17,0.7505,0.7275,0.0,0.23,0.39890625,0.71,0.198,0.2725,3
Fiji,0.0,0.07967032967032968,0.09359375,0.0,0.07,0.0,0.0,0.6898901098901099,0.5071874999999999,1.0,0.47,0.7275,1.0,0.23,0.39890625,0.0,0.47,0.2725,1
Finland,0.3908547008547008,0.07967032967032968,0.0,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.0,1.0,0.7505,0.7275,0.19948717948717948,0.23,1.0,0.0,0.198,0.2725,1
France,0.0,0.0,0.88,0.0,0.0,0.0,1.0,1.0,0.12,0.96,1.0,1.0,0.0,0.0,0.0,0.04,0.0,0.0,1
French Guiana,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,1.0,0.7505,0.7275,0.19948717948717948,0.23,0.39890625,0.0,0.198,0.2725,1
French Polynesia,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,1.0,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.0,0.0,0.2725,1
Gabon,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.0,1.0,0.7275,0.19948717948717948,0.23,0.39890625,1.0,0.0,0.2725,3
Gambia,0.0,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.33,0.6898901098901099,0.5071874999999999,0.88,0.7505,0.7275,0.67,0.23,0.39890625,0.12,0.198,0.2725,1
Georgia,1.0,0.0,0.09359375,0.0,0.0,0.0,0.0,1.0,0.5071874999999999,0.8,0.0,0.7275,0.0,0.0,0.39890625,0.2,1.0,0.2725,3
Germany,0.3908547008547008,0.0,0.5,0.0,0.0,0.0,0.40940170940170945,1.0,0.5,0.8,1.0,0.7275,0.19948717948717948,0.0,0.0,0.2,0.0,0.2725,1
Ghana,0.3908547008547008,0.07967032967032968,0.09359375,0.06,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.33,0.7505,0.7275,0.19948717948717948,0.23,0.39890625,0.61,0.198,0.2725,3
Greece,0.3908547008547008,0.0,0.5,0.0,0.0,0.0,0.40940170940170945,0.75,0.5,1.0,1.0,0.0,0.19948717948717948,0.25,0.0,0.0,0.0,1.0,2
Grenada,0.0,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,1.0,0.6898901098901099,0.5071874999999999,0.668826815642458,0.5,0.7275,0.0,0.23,0.39890625,0.2792178770949721,0.5,0.2725,1
Guadeloupe,0.3908547008547008,0.0,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,1.0,0.5071874999999999,0.668826815642458,0.67,0.7275,0.19948717948717948,0.0,0.39890625,0.2792178770949721,0.33,0.2725,1
Guam,0.3908547008547008,0.07967032967032968,0.09359375,0.051675977653631286,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.668826815642458,0.33,0.7275,0.19948717948717948,0.23,0.39890625,0.2792178770949721,0.67,0.2725,3
Guatemala,0.6,0.14,0.09359375,0.16,0.25,0.0,0.0,0.57,0.5071874999999999,0.47,0.58,0.7275,0.4,0.29,0.39890625,0.37,0.17,0.2725,3
Guinea,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,0.36,0.7505,0.7275,0.19948717948717948,0.23,0.39890625,0.64,0.198,0.2725,3
Guinea-Bissau,0.0,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.0,0.6898901098901099,0.5071874999999999,0.75,0.7505,0.7275,1.0,0.23,0.39890625,0.25,0.198,0.2725,1
Guyana,0.0,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,1.0,0.6898901098901099,0.5071874999999999,0.29,0.7505,0.7275,0.0,0.23,0.39890625,0.71,0.198,0.2725,1
Haiti,0.67,0.5,0.09359375,0.03,0.13,0.0,0.0,0.25,0.5071874999999999,0.48,0.47,0.7275,0.33,0.25,0.39890625,0.48,0.4,0.2725,3
Honduras,0.11,0.0,0.09359375,0.06,0.1,0.0,0.22,0.5,0.5071874999999999,0.61,0.5,1.0,0.67,0.5,0.39890625,0.33,0.4,0.0,3
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,1.0,0.7275,0.0,0.0,1.0,0.2,0.0,0.2725,1
Iceland,0.3908547008547008,0.0,0.0,0.051675977653631286,0.05164285714285714,0.0,0.40940170940170945,1.0,1.0,0.668826815642458,0.7505,0.7275,0.19948717948717948,0.0,0.0,0.2792178770949721,0.198,0.2725,1
India,0.8,0.44,0.14,0.73,0.32,0.0,0.2,0.33,0.14,0.14,0.29,0.7275,0.0,0.22,0.71,0.12,0.39,0.2725,3
Indonesia,0.33,0.24,0.09359375,0.16,0.25,0.0,0.67,0.41,0.5071874999999999,0.24,0.75,1.0,0.0,0.34,0.39890625,0.59,0.0,0.0,3
Iran (Islamic Republic of),1.0,0.05,0.09359375,0.09,0.0,0.0,0.0,0.35,0.5071874999999999,0.5,0.5,0.7275,0.0,0.6,0.39890625,0.41,0.5,0.2725,3
Iraq,1.0,0.0,0.09359375,0.0,0.0,0.0,0.0,1.0,0.5071874999999999,0.77,0.5,0.7275,0.0,0.0,0.39890625,0.23,0.5,0.2725,1
Ireland,0.3908547008547008,0.07967032967032968,0.0,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5,1.0,0.7505,0.7275,0.19948717948717948,0.23,0.5,0.0,0.198,0.2725,1
Israel,0.3908547008547008,0.07967032967032968,0.0,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,1.0,1.0,1.0,1.0,0.19948717948717948,0.23,0.0,0.0,0.0,0.0,1
Italy,0.0,0.17,0.43,0.0,0.0,0.0,1.0,0.33,0.57,0.89,1.0,1.0,0.0,0.5,0.0,0.11,0.0,0.0,0
Jamaica,0.0,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.5,0.6898901098901099,0.5071874999999999,0.5,0.56,0.7275,0.5,0.23,0.39890625,0.5,0.44,0.2725,1
Japan,0.3908547008547008,0.06,0.54,0.05,0.04,0.0,0.40940170940170945,0.61,0.31,0.64,0.48,0.7275,0.19948717948717948,0.33,0.15,0.32,0.48,0.2725,1
Jordan,0.0,0.07967032967032968,0.0,0.0,0.05164285714285714,0.0,0.0,0.6898901098901099,1.0,1.0,0.7505,0.7275,1.0,0.23,0.0,0.0,0.198,0.2725,1
Kazakhstan,0.0,0.0,0.09359375,0.0,0.05164285714285714,0.0,0.0,0.0,0.5071874999999999,0.69,0.7505,1.0,1.0,1.0,0.39890625,0.31,0.198,0.0,0
Kenya,1.0,0.0,0.09359375,0.11,0.05164285714285714,0.0,0.0,1.0,0.5071874999999999,0.32,0.7505,0.7275,0.0,0.0,0.39890625,0.57,0.198,0.2725,3
Kiribati,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,1.0,1.0,0.7275,0.19948717948717948,0.23,0.39890625,0.0,0.0,0.2725,1
Kuwait,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,1.0,0.7505,0.7275,0.19948717948717948,0.23,0.39890625,0.0,0.198,0.2725,1
Kyrgyzstan,1.0,0.0,0.0,0.0,0.05164285714285714,0.0,0.0,0.6,1.0,1.0,0.7505,0.7275,0.0,0.4,0.0,0.0,0.198,0.2725,1
Lao People's Democratic Republic,0.0,0.0,0.09359375,0.27,0.2,0.0,1.0,1.0,0.5071874999999999,0.13,0.2,0.7275,0.0,0.0,0.39890625,0.6,0.6,0.2725,3
Latvia,0.3908547008547008,0.07967032967032968,0.0,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.0,1.0,0.7505,0.7275,0.19948717948717948,0.23,1.0,0.0,0.198,0.2725,1
Lebanon,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,1.0,1.0,1.0,0.19948717948717948,0.23,0.39890625,0.0,0.0,0.0,1
Lesotho,0.86,0.07967032967032968,0.09359375,0.0,0.0,0.0,0.0,0.6898901098901099,0.5071874999999999,1.0,1.0,0.7275,0.14,0.23,0.39890625,0.0,0.0,0.2725,1
Liberia,0.3908547008547008,0.07967032967032968,0.09359375,0.0,0.05164285714285714,0.0,0.40940170940170945,0.6898901098901099,0.5071874999999999,1.0,0.7505,0.7275,0.19948717948717948,0.23,0.39890625,0.0,0.198,0.2725,1
