Country,Year,Preparedness_Score,Preparedness_Level_Enhanced
Bangladesh,2007,4.0,Not Prepared
China,2003,4.0,Not Prepared
China,2008,5.0,Not Prepared
China,2010,4.5,Not Prepared
Algeria,2003,4.5,Not Prepared
Haiti,2004,4.0,Not Prepared
Haiti,2010,4.0,Not Prepared
Indonesia,2004,4.0,Not Prepared
Indonesia,2006,5.0,Not Prepared
India,2001,5.0,Not Prepared
India,2005,4.5,Not Prepared
India,2005,4.0,Not Prepared
India,2006,4.0,Not Prepared
Iran (Islamic Republic of),2003,4.5,Not Prepared
Sri Lanka,2004,5.0,Not Prepared
Myanmar,2008,4.0,Not Prepared
Nepal,2015,4.0,Not Prepared
Pakistan,2005,5.0,Not Prepared
Philippines,2013,4.0,Not Prepared
TÃ¼rkiye,2023,4.0,Not Prepared
